#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
2000-03-14T00:00:00Z,1.1675214,17.22119,4.1498423
2000-03-15T00:00:00Z,4.348718,93.47613,9.6683055
2000-03-16T00:00:00Z,0,0,0
2000-03-17T00:00:00Z,0,0,0
2000-03-18T00:00:00Z,0.37094018,2.1217212,1.456613
2000-03-19T00:00:00Z,0,0,0
2000-03-20T00:00:00Z,1.0094017,6.516947,2.5528312
2000-03-21T00:00:00Z,0.291453,5.0615974,2.2497994
2000-03-22T00:00:00Z,0,0,0
2000-03-23T00:00:00Z,0,0,0
2000-03-24T00:00:00Z,7.1478634,156.21722,12.498689
2000-03-25T00:00:00Z,3.8871794,11.198939,3.3464816
2000-03-26T00:00:00Z,6.019658,306.88343,17.518089
2000-03-27T00:00:00Z,8.633333,354.94828,18.840071
2000-03-28T00:00:00Z,1.2692307,16.283819,4.0353215
2000-03-29T00:00:00Z,0,0,0
2000-03-30T00:00:00Z,0,0,0
2000-03-31T00:00:00Z,0,0,0
2000-04-01T00:00:00Z,0,0,0
2000-04-02T00:00:00Z,2.6726496,16.959034,4.1181347
2000-04-03T00:00:00Z,5.134188,146.36487,12.098135
2000-04-04T00:00:00Z,0.25042737,3.2866195,1.8129036
2000-04-05T00:00:00Z,6.737607,30.9608,5.564243
2000-04-06T00:00:00Z,1.4632479,3.2861773,1.8127817
2000-04-07T00:00:00Z,0,0,0
2000-04-08T00:00:00Z,0.34871796,5.0278515,2.2422871
2000-04-09T00:00:00Z,1.4128205,24.181698,4.917489
2000-04-10T00:00:00Z,0.12820514,2.2214854,1.4904648
2000-04-11T00:00:00Z,1.7094017,12.379016,3.5183826
2000-04-12T00:00:00Z,0.15128206,3.096817,1.7597775
2000-04-13T00:00:00Z,1.2547009,9.818892,3.1335112
2000-04-14T00:00:00Z,6.480342,17.728265,4.2104945
2000-04-15T00:00:00Z,2.4495726,79.183173,8.8984925
2000-04-16T00:00:00Z,1.0470085,20.768493,4.5572463
2000-04-17T00:00:00Z,0.7811966,12.705718,3.564508
2000-04-18T00:00:00Z,0.30427352,8.006778,2.8296253
2000-04-19T00:00:00Z,0.18547009,3.3321545,1.8254189
2000-04-20T00:00:00Z,3.0393162,172.41305,13.130615
2000-04-21T00:00:00Z,0,0,0
2000-04-22T00:00:00Z,0.06068376,1.7406425,1.319334
2000-04-23T00:00:00Z,0,0,0
2000-04-24T00:00:00Z,0,0,0
2000-04-25T00:00:00Z,0,0,0
2000-04-26T00:00:00Z,0,0,0
2000-04-27T00:00:00Z,0.03076923,0.8355438,0.9140808
2000-04-28T00:00:00Z,1.3623931,21.891837,4.6788713
2000-04-29T00:00:00Z,0,0,0
